SL NO,STATE/UT,population deprived of schooling,poverty rate (%),population deprived of Nutrition,Year,unemployment rate,gdp(billions),literacy rate(%),Population(in lakhs),total crimes,Murder,Kidnapping and Abduction,crime against women,crime against children,crime committed by juveniles
1,Andhra Pradesh,15.8,4.19,22.94,2022,4.1,"11,485",66.4,529.72,195284,925,903,25503,3308,912
2,Arunachal Pradesh,14.2,10.05,17.1,2022,4.8,327,66.95,15.48,2761,56,70,335,143,15
3,Assam,12.35,14.47,31.8,2022,1.7,"4,107",85.9,353.78,68937,1072,4560,14148,4084,246
4,Bihar,22.29,26.59,42.2,2022,3.9,"6,474",70.9,1249.19,347835,2930,11822,20222,8122,1052
5,Chattisgarh,10.5,11.71,35.12,2022,2.5,"4,105",77.3,298.36,121065,1013,2740,8693,6177,2356
6,Goa,2.5,0.37,20.23,2022,1.9,812,87.4,15.67,3679,44,84,273,184,25
7,Gujarat,7.9,9.03,38.09,2022,9.7,"19,209",82.4,706.48,524103,959,1846,7731,4964,1558
8,Haryana,5.5,5.3,26.19,2022,1.7,"8,689",80.4,298.46,242849,1020,3891,16743,6138,1164
9,Himachal Pradesh,4.6,3.88,22.98,2022,6.1,"1,722",86.6,74.31,19053,85,413,1551,740,163
10,Jharkhand,16.1,23.34,40.32,2022,4.4,"3,761",74.3,389.69,64359,1550,1899,7678,1917,123
11,Karnataka,7.1,5.67,29.97,2022,1.7,"19,781",77.2,672.68,180742,1404,3365,17813,7988,558
12,Kerala,2.4,0.48,16.44,2022,2.4,"9,245",96.2,356.33,454836,334,403,15213,5640,443
13,Madhya Pradesh,12.14,15.01,34.63,2022,7,"10,930",73.7,855.48,488966,1978,10409,32765,20415,3795
14,Maharashtra,5.9,5.48,32.29,2022,1.6,"31,441",84.8,1254.11,557012,2295,12260,45331,20762,4406
15,Manipur,4.5,5.37,17.87,2022,3.1,350,79.85,31.94,3914,47,100,248,120,9
16,Meghalaya,16.7,25.46,34.72,2022,4.7,402,75.48,33.18,3625,72,139,690,496,68
17,Mizoram,6.7,3.77,15.63,2022,6,267,91.58,12.27,4133,31,9,147,135,48
18,Nagaland,10.4,11.76,20.61,2022,2.2,323,80.11,22.13,1592,21,28,49,35,5
19,Odisha,13.4,11.07,30.77,2022,4.3,"6,970",77.3,441.62,178190,1379,5854,23648,8240,1163
20,Punjab,6.7,4.35,20.8,2022,3.9,"6,277",83.7,305.35,73625,670,1654,5572,2494,452
21,Rajasthan,10.06,10.77,34.09,2022,6.1,"11,950",69.7,801.53,312804,1834,8824,45058,9370,3063
22,Sikkim,8.5,2.1,10.36,2022,4.4,376,82.2,6.83,819,9,46,179,159,7
23,Tamil Nadu,8.5,1.43,19.17,2022,2.2,"20,725",82.9,766.31,473456,1690,737,9207,6580,2607
24,Telangana,14.56,3.76,28.35,2022,4.3,"11,241",72.8,379.07,165830,937,2981,22066,5657,1096
25,Tripura,10.4,11.49,26.13,2022,4.4,623,87.75,41.09,4532,109,105,752,220,33
26,Uttar Pradesh,13.1,17.4,36.43,2022,1.4,"19,756",87.6,2332.97,753675,3491,16263,65743,18682,1505
